group,variable,value
cherry tomatoes,cherry tomatoes,132
cherry tomatoes,olive oil,30
cherry tomatoes,salt,26
cherry tomatoes,pepper,16
cherry tomatoes,garlic,15
cherry tomatoes,cucumber,13
cherry tomatoes,balsamic vinegar,11
cherry tomatoes,dijon mustard,10
cherry tomatoes,avocado,9
cherry tomatoes,sea salt,9
cherry tomatoes,black pepper,7
cherry tomatoes,red wine vinegar,7
cherry tomatoes,lemon juice,6
cherry tomatoes,salad,6
cherry tomatoes,worcestershire sauce,6
cherry tomatoes,lemon,5
cherry tomatoes,croutons,5
cherry tomatoes,butter,4
cherry tomatoes,lime,4
cherry tomatoes,white wine vinegar,3
cherry tomatoes,quinoa,3
cherry tomatoes,parsley,3
cherry tomatoes,bacon,3
cherry tomatoes,vegetable stock,2
cherry tomatoes,paprika,2
cherry tomatoes,mayonnaise,2
cherry tomatoes,chicken,2
cherry tomatoes,mussels,2
cherry tomatoes,cayenne pepper,2
cherry tomatoes,basil,2
cherry tomatoes,vegetable oil,2
cherry tomatoes,bread,2
cherry tomatoes,beans,2
cherry tomatoes,lentils,2
cherry tomatoes,salad leaves,2
cherry tomatoes,baguette,2
cherry tomatoes,fresh coriander,1
cherry tomatoes,squid,1
cherry tomatoes,capsicum,1
cherry tomatoes,dill,1
cherry tomatoes,hummus,1
cherry tomatoes,plain flour,1
cherry tomatoes,lime juice,1
cherry tomatoes,pasta,1
cherry tomatoes,wholemeal bread,1
cherry tomatoes,sugar,1
cherry tomatoes,broccoli,1
cherry tomatoes,barbecue sauce,1
cherry tomatoes,sherry vinegar,1
cherry tomatoes,spaghetti,1
cherry tomatoes,black beans,1
cherry tomatoes,chicken stock,1
cherry tomatoes,oregano,1
cherry tomatoes,cumin,1
cherry tomatoes,french bread,1
cherry tomatoes,spinach,1
cherry tomatoes,grapefruit juice,1
cherry tomatoes,steak,1
cherry tomatoes,cheese,1
cherry tomatoes,capers,1
cherry tomatoes,honey,1
cherry tomatoes,guacamole,1
cherry tomatoes,brown sugar,1
cherry tomatoes,seeds,1
cherry tomatoes,rice flour,1
cherry tomatoes,beef,1
cherry tomatoes,asparagus,1
cherry tomatoes,thyme,1
cherry tomatoes,star anise,1
cherry tomatoes,arborio rice,1
cherry tomatoes,double cream,1
cherry tomatoes,lobster,1
cherry tomatoes,pork sausages,1
cherry tomatoes,pancetta,0
cherry tomatoes,white chocolate,0
cherry tomatoes,champagne,0
cherry tomatoes,lager,0
cherry tomatoes,duck fat,0
cherry tomatoes,spring roll wrappers,0
cherry tomatoes,horseradish,0
cherry tomatoes,coriander,0
cherry tomatoes,gnocchi,0
cherry tomatoes,curry,0
cherry tomatoes,maple syrup,0
cherry tomatoes,oats,0
